what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319163778000
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319163867062
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1319163869656
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319163879140
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319163887156
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319163902703
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319163902703
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319163902796
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319163924437
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319163929984
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319163929984
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319163930093
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319163958078
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1319163964359
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319163974125
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319163974125
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319163974203
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.0.v200904240436,"org.eclipse.wst.xsl.debug.ui",1319163974578
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319164267562
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319164268531
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319164268531
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319164268671
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319164331812
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319164333453
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1319164336203
